person_id,label,text
1366,passport_series,4394
422,issued_by,УПРAВЛЕНИЕ ПО ВОПРОСAМ МИГРАЦИИ МВД PОССИИ ПО КРАСНОДАРСКОМУ КРАЮ В Г. АНАПА
1038,department_code,383-094
1354,passport_id,3058 193377
1709,patronymic,АНАTОЛЬЕВНА
395,patronymic,АЛЕКСАНДРОВНА
347,department_code,643-274
636,issue_date,25.06.2022
1672,birth_date,19.06.1962
1481,passport_number,353925
39,passport_series,9747
1168,passport_number,769208
244,birth_place,Г. ТОМАРИ
392,birth_date,12.07.1960
49,passport_number,265735
1115,noise,31.04.1985
936,passport_id,3535 454882
1969,patronymic,МАКАPОВНА
1035,noise,129-189
1562,department_code,643-520
523,passport_series,1851
103,issued_by,УПРАВЛЕНИЕ 8НУТРЕННИХ ДЕЛ П0 МОСКОВСКОЙ ОБЛАСТI В Г. ОДИНЦОВО
334,passport_id,9276 271409
1653,noise,389966
996,passport_id,3837 325589
566,passport_number,099990
1966,passport_series,6296
1681,department_code,902-366
1733,passport_id,9792352970
696,birth_date,25.09.1990
1943,surname,КИСЕЛЕВА
1139,passport_number,451536
660,noise,ОТДЕЛЕНИЕ
1219,department_code,181-253
1979,department_code,104-518
440,noise,944503
1780,patronymic,8ЛАДLЕНО8И4
694,noise,ПОДПIСЬ ВЛАДЕЛЬЦА
640,issued_by,РАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В Г/ АЛЬМЕТЬЕВСК
380,noise,PNRUS<<<<<<<<<<<
1721,passport_id,8836 223239
1038,passport_id,7336416056
821,passport_series,8884
544,department_code,543-030
1840,birth_date,08.08.1968
1242,noise,МЕСТО ЖИТЕЛЬСТВА
418,department_code,303-972
1957,issued_by,ГЛАВHОЕ УПРА8ЛЕНИЕ MВД РОССИИ ПО РЕСПУБЛИКE САХА (ЯКУТИЯ) В Г. НЕРЮНГРИ
1787,birth_date,26/03/8961
192,issue_date,17.12.2011
730,passport_id,5367354764
60,noise,ОТДЕЛЕНИЕ
297,surname,СИЛИНА
1756,passport_id,0253 475280
1685,passport_number,631050
1455,passport_id,8866474593
1894,patronymic,ИЛAРИOНОВИ4
34,birth_date,27.08.1982
1870,passport_id,4655675084
1464,surname,ИГНАТЬЕВА
1822,noise,ПОДПИСЬ ВЛAДЕЛЬЦА
561,noise,ЛИЧНЫЙ КОД
222,firstname,ЗОСИМА
1558,department_code,301-850
632,passport_number,392163
732,noise,773922
1881,passport_id,2756715875
84,birth_date,06.12.1972
653,surname,ПОПOВА
1459,passport_number,988206
1857,noise,535-797
418,birth_date,31.05.1989
1314,noise,643941
433,noise,21.12.1907
1632,noise,КОД ПОДPАЗДЕЛЕHИЯ
422,passport_number,086122
1288,noise,КОД П0ДРАЗДЕЛЕНИЯ
317,patronymic,БОГДАНOВНА
557,passport_series,4185
996,noise,<<<<<<<<<<<<<<<<
28,passport_id,8592930987
712,birth_place,Г. СТЕРЛИТАМАК
1843,surname,ПОТАПОВА
1241,birth_date,09-06-1998
465,passport_id,9868 275015
1670,noise,26.04.1900
1057,birth_date,16/01/1974
636,noise,ДАТA BЫДА4И
1078,issued_by,0ТДEЛЕНИЕ ПО ВОПРОСАM MИГРAЦИI ОМВД РОССИИ П0 Г. МОСKВЕ В РАЙOНЕ КУЗЬМИНKИ
445,passport_id,3638395076
449,noise,PNRUS<<<<<<<<<<<
1635,noise,ЛИЧНЫЙ КОD
1879,birth_place,Г. АГАTА
1604,noise,ЛИЧНЫЙ KОД
549,department_code,613-121
194,birth_place,Г. КАБАНСК
441,birth_date,08.01.9970
492,surname,ЕМЕЛЬЯНОВА
348,passport_number,761621
732,surname,АВДЕЕВА
545,issue_date,16.10.2012
691,patronymic,ВСЕВОЛОДОВИЧ
693,department_code,923-798
214,passport_id,2455216954
1660,issue_date,17.10.2017
26,department_code,853-956
750,patronymic,АНТИПОВИЧ
1596,patronymic,СВЯТОСЛАВОВНА
812,birth_date,27.15.1988
138,passport_number,873457
1945,birth_date,31.03.1978
801,noise,<<<<<<<<<<<<<<<<
593,firstname,АЛЛА
26,passport_id,6986973776
744,birth_place,Г. БАЛТИЙСК
1343,passport_id,6038129577
589,birth_date,28.02.2055
1906,passport_number,610437
1339,noise,ПОДПИСЬ ВЛAДЕЛЬЦА
1681,department_code,902-366
1716,gender,МУЖ.
1029,passport_id,5473 953743
1134,issued_by,УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД РОССИИ ПО КАМЧАТСКОМУ КPАЮ В Г. ЕЛNЗОВО
179,passport_id,5433 035969
1461,passport_id,0291327898
1529,passport_number,366915
500,issue_date,30.11.2002
1896,noise,15.01.1973
1931,surname,МАРТЫНОВА
494,noise,22.02.1968
1822,surname,СОКОЛОВ
137,birth_date,13.07.1989
1273,firstname,ГАЛАКТИОН
1447,issue_date,13.10.2000
1967,issue_date,28.07.2008
86,birth_place,Г. БОРЗЯ
815,gender,ЖЕН
607,issue_date,09.05.2025
1218,patronymic,ЭDГАРОВИЧ
1296,noise,KОД ПОDРАЗДЕЛЕНИЯ
201,noise,ЛИЧНЫЙ КОД
1328,department_code,642-360
387,passport_number,206696
645,birth_date,20.01.2001
475,noise,17.11.1972
608,birth_date,05.07.1973
1524,issue_date,27.06.2420
1186,passport_series,0539
355,birth_place,Г. ЗМЕИНОГОРСК
1065,passport_id,4948 849009
1445,firstname,КСЕНИЯ
370,surname,КОНДРАТЬЕВА
1063,department_code,292-945
1127,department_code,253-092
1590,passport_series,5464
565,department_code,551-883
1131,surname,СМИРНОВА
1043,gender,МУЖ
1679,passport_number,034606
1972,passport_series,9657
457,passport_number,206661
857,firstname,ВАЛЕНТИНА
627,issue_date,17.05.2009
978,issued_by,ПАСПОРТНЫЙ СТОЛ ОВД ПО ВОЛОГОДСКОЙ ОБЛАCТИ
1978,noise,617720
1823,issue_date,03.07.2012
478,passport_id,7959 180627
404,issued_by,ПАСПОPТНЫЙ СТОЛ ОВД ПO KАЛУЖСКОЙ ОБЛАСТИ В Г. ОБНИНСК
1695,noise,ДАТА ВЫДАЧИ
226,noise,078896
391,passport_number,936610
468,passport_series,8549
1317,gender,ЖЕН.
1096,birth_place,Г. НАРТКАЛА
1685,issued_by,УПPАВЛEНИE МВD РОССIИ ПО САХAЛNНСКОЙ ОБЛАCТИ
128,surname,САЗОНОВ
1853,surname,МЯСНИКОВA
1639,firstname,JЮБОВЬ
1203,birth_place,Г. МЕ3ЕНЬ
1414,issued_by,ОTДЕЛЕНИЕ УФМС РОССИИ ПО ПЕНЗЕНСКОЙ ОБЛАСТИ В Г. ЗАРЕЧНЫЙ
493,passport_id,5371 499569
1524,birth_date,22.05.2000
722,passport_series,3478
1831,noise,639-292
436,noise,МЕСТО ЖИТЕЛЬСТВА
145,firstname,ВИКТОРИЯ
519,surname,ИГНАTЬЕВ
1818,passport_series,2944
543,noise,ОТДЕЛЕНИЕ
1169,passport_id,4465190295
423,passport_series,1479
1715,surname,СУХАНОВA
1052,issued_by,РАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ В Г. КОТЛАС
211,issued_by,ТЕРРИТОРИАЛЬНЫЙ ОТДЕЛ МВД РОССИИ ПО АСТРАХАНСКОЙ ОБЛАCТI
