lastName,firstName,middleName,series,number,birthDate,birthPlace,subdivisionCode,issuedDate,issuingAuthority
Доронина,Людмила,Ильинична,73 43,542698,17.11.2005,г. Егорьевск,412-164,12.01.2026,Отдел по вопросам миграции МВД России по Курганской области
Брагина,Маргарита,Тарасовна,20 66,521961,03.06.1980,г. Сортавала,742-361,26.06.2025,Межрайонный отдел УФМС России по Московской области
Корнилов,Игорь,Марсович,10 67,562222,17.07.1977,г. Данков,702-061,04.08.2022,Отделение УФМС России по Владимирской области в г. Ковров
Носкова,Нонна,Вениаминовна,92 88,023927,01.03.1962,г. Терней,471-946,17.04.2007,Отдел МВД России по Рязанской области
Медведева,Наина,Рудольфовна,13 80,440170,07.06.1989,г. Тольятти,102-262,08.07.2009,Отдел полиции УМВД России по Тамбовской области в г. Тамбов
Пономарева,Раиса,Петровна,81 32,979507,15.11.1980,г. Рыльск,832-988,08.12.2025,Отдел МВД России по Республике Мордовия в г. Саранск
Гурьев,Дементий,Герасимович,99 43,224423,22.10.2002,г. Шелехов,663-011,20.11.2022,Районный отдел УФМС России по Красноярскому краю в г. Минусинск
Евдокимова,Юлия,Эдуардовна,71 53,638157,13.12.1967,г. Стерлитамак,843-807,29.12.2012,Паспортный стол ОВД по г. Пенза по Кировскому району
Белозерова,Анастасия,Феликсовна,92 40,312338,08.01.1988,г. Кедровый,492-103,14.02.2008,Паспортный стол ОВД по Республике Марий Эл в г. Волжск
Мельникова,Елизавета,Яковлевна,34 69,805472,09.05.1989,г. Улан-Удэ,121-134,22.06.2009,Межрайонный отдел УФМС России по Пермскому краю
Ситников,Юрий,Тихонович,38 76,987361,25.07.1998,г. Губкинский,191-540,12.09.2018,Управление МВД России по Республике Калмыкия
Зиновьев,Святослав,Гертрудович,75 85,087086,16.01.1964,г. Кунгур,133-703,15.03.2009,Отделение УФМС России по Ивановской области
Муравьев,Авксентий,Григорьевич,86 77,290826,13.07.1974,г. Ульяновск,341-190,01.08.2019,Отдел МВД России по Республике Марий Эл в г. Волжск
Лаврентьев,Виталий,Ефремович,26 79,580539,06.03.1986,г. Набережные Челны,371-616,27.03.2006,Отделение УФМС России по Республике Алтай
Сысоев,Остромир,Ануфриевич,36 64,634518,27.12.1984,г. Печора,573-224,15.01.2005,Отделение УФМС России по Республике Коми
